"Respondent.Serial";"Respondent.Serial.SourceFile";"Respondent.Origin (1/6)";"Respondent.Origin (2/6)";"Respondent.Origin (3/6)";"Respondent.Origin (4/6)";"Respondent.Origin (5/6)";"Respondent.Origin (6/6)";"Respondent.Origin.Other";"Respondent.ID";"DataCollection.Status (1/9)";"DataCollection.Status (2/9)";"DataCollection.Status (3/9)";"DataCollection.Status (4/9)";"DataCollection.Status (5/9)";"DataCollection.Status (6/9)";"DataCollection.Status (7/9)";"DataCollection.Status (8/9)";"DataCollection.Status (9/9)";"DataCollection.InterviewerID";"DataCollection.StartTime";"DataCollection.FinishTime";"DataCollection.MetadataVersionNumber";"DataCollection.MetadataVersionGUID";"DataCollection.RoutingContext";"DataCollection.Variant";"DataCollection.EndQuestion";"DataCollection.TerminateSignal";"DataCollection.SeedValue";"DataCollection.InterviewEngine";"DataCollection.CurrentPage";"DataCollection.Debug";"DataCollection.ServerTimeZone";"DataCollection.InterviewerTimeZone";"DataCollection.RespondentTimeZone";"DataCollection.BatchID";"DataCollection.BatchName";"DataCollection.DataEntryMode";"DataCollection.Removed";"DataCleaning.Note";"DataCleaning.Status (1/2)";"DataCleaning.Status (2/2)";"DataCleaning.ReviewStatus (1/4)";"DataCleaning.ReviewStatus (2/4)";"DataCleaning.ReviewStatus (3/4)";"DataCleaning.ReviewStatus (4/4)";"PA";"PB";"P1_1";"P1_1.R96";"P1_T (1/10)";"P1_T (2/10)";"P1_T (3/10)";"P1_T (4/10)";"P1_T (5/10)";"P1_T (6/10)";"P1_T (7/10)";"P1_T (8/10)";"P1_T (9/10)";"P1_T (10/10)";"P1_T.R96";"P2_1";"P2_1.R96";"P2_T (1/10)";"P2_T (2/10)";"P2_T (3/10)";"P2_T (4/10)";"P2_T (5/10)";"P2_T (6/10)";"P2_T (7/10)";"P2_T (8/10)";"P2_T (9/10)";"P2_T (10/10)";"P2_T.R96";"P3";"P3.R96";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P4_8";"P4_9";"P4_96";"P4aCOMP";"P5";"P5.R96";"P6";"P6aCOMP";"P6a2COMP";"P6aAnos";"P6a";"P6aDias";"P8COMP";"P8COMP.R96";"P9COMP";"P10COMP";"P11COMP";"P12COMP";"P10";"P13aCOMP";"P13bCOMP";"P11[{R1}].escala";"P11[{R2}].escala";"P11[{R3}].escala";"P11[{R4}].escala";"P11[{R5}].escala";"P11[{R6}].escala";"P11[{R7}].escala";"P11[{R8}].escala";"P13aCOMP2";"P13bCOMP2";"P17[{R1}].escala";"P17[{R2}].escala";"P17[{R3}].escala";"P17[{R4}].escala";"P17[{R5}].escala";"P17[{R6}].escala";"P17[{R7}].escala";"P17[{R8}].escala";"P18[{R01}].escala";"P18[{R02}].escala";"P18[{R03}].escala";"P18[{R04}].escala";"P18[{R05}].escala";"P18[{R06}].escala";"P18[{R07}].escala";"P18[{R08}].escala";"P18[{R09}].escala";"P18[{R10}].escala";"P18[{R11}].escala";"P18[{R12}].escala";"P18[{R13}].escala";"P18[{R14}].escala";"P18[{R15}].escala";"P18[{R16}].escala";"P18[{R17}].escala";"P18[{R18}].escala";"P18[{R19}].escala";"D1";"D2";"D3";"D3.R96";"D4";"D4.R96";"EDJF";"AUTO";"HABI";"BANO";"BOIL";"FOCO";"NSE_Final";"USUARIOS";"NUSUARIOS (1/3)";"NUSUARIOS (2/3)";"NUSUARIOS (3/3)"
25;;3;;;;;;;10468;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 16:26:58";"2015-10-07 16:43:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1937310224;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;6;;"porque la señal no era buena . .";;"pues  porque siento muy señal , mi familia tiene esa compania";5;0;0;3;;"el costo . es mas barata";;2;"no lo conosco";4;2;"por el tiuempo por comodidad";1;2;1;1;1;1;1;1;1;"por no parece lo mismo";1;1;1;1;1;1;1;1;6;6;7;6;7;6;6;8;6;7;7;7;7;7;6;7;7;6;6;3;2;1;;1;;9;1;5;1;2;8;3;"3 Telcel";1;;
107;;3;;;;;;;338;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 16:44:46";"2015-10-07 16:57:34";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1936241664;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;96;"nextel";95;;;;;;;;;;;;;;;;;;;;;;1;2;95;;;;;1;0;0;1;;"porque tiene mejor señal";;1;"porque es mas economica";4;2;"porque tengo nextel no da el mismo servicio,";1;4;5;5;5;4;4;1;4;"por que lo  tenia antes ,";1;5;5;4;5;4;4;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;1;2;;1;;5;1;2;1;1;4;3;"5 Nextel";3;;
225;;3;;;;;;;12600;1;;;;;;;;;"1412serranoveronica061502";"2015-10-07 17:50:23";"2015-10-07 18:03:25";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1932304683;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"pórque se me hace buen servi y no es muy caros";"hftgh";"no es muy caro";1;0;0;6;;"ahí porque la compañía de eu es una";;2;"no conozco la compañia";4;1;"no hay señal";1;1;1;1;1;1;2;1;2;"no me interesa si n";2;2;2;2;2;2;2;2;7;7;6;7;8;6;6;6;7;8;7;7;6;8;7;6;6;6;7;2;1;2;;1;;6;1;3;1;1;6;2;"3 Telcel";1;;
245;;3;;;;;;;11458;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-07 17:53:42";"2015-10-07 18:05:42";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1932106140;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;96;99;95;;;;;;;;;;;96;"telcel";95;;;;;;;;;;;;;;;;;;;;;;2;2;6;;"opr que mi trabajo eta alejado me daba mejor cobertura";;;1;98;998;97;;;"por su buena cobertura";2;"por que no conoce la compañía";4;2;"estoy conforme con telcel ya que me da buena señal";5;5;5;3;3;5;3;3;1;"no los conozco";5;5;5;5;5;5;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;1;2;;3;;5;2;3;1;1;5;4;"3 Telcel";1;;
294;;3;;;;;;;12573;1;;;;;;;;;"1119delpozoalejandra061404";"2015-10-07 18:02:32";"2015-10-07 19:08:39";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1931576252;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"por que fueron los primeros que tuvieron cobertura pero ya me que de con telcel";10;0;0;2;;"por que avia escuchado que tenia bueno servicios y por cuestión de servicio de la recepción";;1;"es perando que fuera mas eqconomico y mejor servicio";5;4;"para conocer los venedicios mas afondo y ya el tiempo dira";4;4;4;4;4;2;4;4;4;"por los buenos comentarios que andicho y por los beneficios";2;1;2;2;2;1;2;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;1;2;;1;;3;1;8;1;1;22;2;"3 Telcel";1;;
367;;3;;;;;;;10958;1;;;;;;;;;"1417lopezgricelda061502";"2015-10-07 18:15:27";"2015-10-07 18:58:57";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1930801067;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PUES NO SE, ESTA MEJOR, LA LINE ME AGRADA";1;98;98;96;"NINGUNA";"NO ME GUSTAN";;2;"PUES NO SE, ME GUSTA MAS TELCEL";3;3;"NECESITARIA VER TAL FUNCIONA Y QUE TANTO ME SERVIRIA";2;4;5;2;3;2;4;5;4;"PORQUE ME LLAMA MAS UN POCO EL PLAN PORQUE LO OCUPO";1;4;4;4;4;2;2;2;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;3;1;96;"N/C";96;"N/C";14;3;99;5;3;99;9;"3 Telcel";1;;
477;;3;;;;;;;1543;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-07 18:47:53";"2015-10-07 19:01:29";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928855235;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;96;"unefon";96;;;;;;;;;;"nextel";96;"nextel";;;;;;;;;;1;2;96;"telmex";"por el trabajo por que todos mis amigos tienen nextel y se comunican olo por radio";;;2;98;998;96;"telmex";"por las promociones";;1;"por los beneficios";5;5;"tiene buenas promciones";4;2;4;2;2;4;2;4;4;"por que Iusacell aveces ya se socia con nextel";2;2;2;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;1;1;;1;;1;2;3;1;2;4;4;"5 Nextel";3;;
486;;3;;;;;;;13967;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-07 18:50:23";"2015-10-07 19:02:36";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928704757;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"pr que me gusta . mejor";10;0;0;3;;"porque dicen muchos es internt";;2;"porque ase mucho lo tube y mi familia no me gusto poco roming";4;1;"porque esta bien";1;2;1;2;1;1;4;2;1;"porque no me interesa";1;1;1;1;1;1;1;1;6;6;7;6;6;6;7;6;8;7;6;7;6;7;7;8;6;9;6;2;2;1;;1;;14;3;99;5;3;99;9;"3 Telcel";1;;
493;;3;;;;;;;10597;1;;;;;;;;;"1406llanosmoises061503";"2015-10-07 18:51:29";"2015-10-07 20:37:53";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1928638956;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR LA COMODIDAD Y LOS CENTROS DE ATENCION QUE ESTAN MAS CERCAS DE DONDE VIVO";5;98;98;97;;;"TIENE LAS REDES MAS RAPIDAS,LOS CENTROS DE DONDE ESTAMOS QUEDAN CERCA,ME BRINDAN ALGUNOS BENEFICIOS";2;"POR QUE NO CONOSCO LAS PROMOCIONES NO SABRIA BIEN";4;2;"POR LO MENOS TIENEN QUE ESPERAR 18 MESES POR QUE APENAS ACABO DE RENOBAR EL PLAN";5;5;5;5;1;5;1;2;1;"POR QUE APENAS ACABO DE RENOVAR EL PLAN";5;5;5;5;1;5;1;1;6;9;6;6;6;9;6;6;9;6;9;9;9;6;6;6;6;9;6;2;1;96;"NO CONTESTO";96;"NO CONTESTO";14;3;99;5;3;99;9;"3 Telcel";1;;
545;;3;;;;;;;12747;1;;;;;;;;;"1572CARPINTEYROZAIRA091504";"2015-10-07 19:08:16";"2015-10-07 19:27:19";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1927632187;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;8;;;;;;;;1;;6;;;;;;;;;;;1;;2;;;;;2;;;;;2;95;;;;"POR LA RED , POR LA COBERTURA QUE TIENE";1;98;998;97;;;"POR QUE SIEMPRE TENGO SEÑAL";2;"POR QUE ESTOY BIEN CON LA COMPAÑA QUE TIENE MI APARATO";4;1;"POR QUE ESTOY BIEN CON ESE";2;1;4;1;4;4;4;2;1;"POR QUE ESTOY AGUSTO CON LA QUE TENGO";2;2;4;4;4;4;4;4;7;7;7;7;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;2;1;;4;;2;2;99;1;2;3;9;"3 Telcel";1;;
